forecastdate,seat,voteshareDFcst,voteshareRFcst,candidateDFcst,candidateRFcst,marginFcst,voteshareDActl,voteshareRActl,candidateDActl,candidateRActl,marginActl,marginMiss,marginFcst22,marginAdj22
09/12/2018,AZ,50.41,47.42,Kyrsten Sinema,Martha McSally,2.99,49.96,47.61,KYRSTEN SINEMA,MARTHA MCSALLY,2.35,-0.64,4.4,3.7600000000000002
09/12/2018,CT,62.24,35.48,Christopher Murphy,Matthew Corey,26.76,56.8,39.35,CHRISTOPHER S MURPHY,MATTHEW COREY,17.45,-9.31,19.63,10.319999999999999
09/12/2018,FL,50.47,49.53,Bill Nelson,Rick Scott,0.94,49.93,50.05,BILL NELSON,RICK SCOTT,-0.12,-1.06,-7.57,-8.63
09/12/2018,HI,76.57,23.43,Mazie K. Hirono,Ron Curtis,53.14,71.15,28.85,MAZIE K. HIRONO,RON CURTIS,42.3,-10.84,36.74,25.900000000000002
09/12/2018,IN,51.5,46.01,Joe Donnelly,Mike Braun,5.49,44.84,50.73,JOE DONNELLY,MIKE BRAUN,-5.89,-11.38,-19.53,-30.910000000000004
09/12/2018,MD,68.35,27.86,Benjamin L. Cardin,Tony Campbell,40.49,64.86,30.31,BEN CARDIN,TONY CAMPBELL,34.55,-5.94,31.69,25.75
09/12/2018,MO,50.63,46.35,Claire McCaskill,Josh Hawley,4.28,45.57,51.38,CLAIRE MCCASKILL,JOSH HAWLEY,-5.81,-10.09,-16.76,-26.85
09/12/2018,ND,50.99,49.01,Heidi Heitkamp,Kevin Cramer,1.98,44.27,55.11,HEIDI HEITKAMP,KEVIN CRAMER,-10.84,-12.82,-44.95,-57.77
09/12/2018,NV,49.28,47.52,Jacky Rosen,Dean Heller,1.76,50.41,45.38,JACKY ROSEN,DEAN HELLER,5.03,3.27,2.35,5.62
09/12/2018,NY,67.15,32.85,Kirsten E. Gillibrand,Chele Farley,34.3,62.02,28.58,KIRSTEN E. GILLIBRAND,CHELE CHIAVACCI FARLEY,33.44,-0.86,24.56,23.7
09/12/2018,OH,56.24,43.76,Sherrod Brown,Jim Renacci,12.48,53.41,46.57,SHERROD BROWN,JIM RENACCI,6.84,-5.64,-4.19,-9.83
09/12/2018,PA,55.35,42.58,Robert P. Casey Jr.,Lou Barletta,12.77,55.61,42.74,ROBERT P CASEY JR,LOUIS J. BARLETTA,12.87,0.1,5.87,5.97
09/12/2018,UT,29.0,58.16,Jenny Wilson,Mitt Romney,-29.16,30.91,62.59,JENNY WILSON,MITT ROMNEY,-31.68,-2.52,-14.09,-16.61
09/12/2018,WA,61.92,38.08,Maria Cantwell,Susan Hutchison,23.84,58.43,41.57,MARIA CANTWELL,SUSAN HUTCHISON,16.86,-6.98,14.35,7.369999999999999
09/12/2018,WI,56.51,43.49,Tammy Baldwin,Leah Vukmir,13.02,55.42,44.58,TAMMY BALDWIN,LEAH VUKMIR,10.84,-2.18,-0.19,-2.37
